feature,mean,std
RGMB,0.0,0.0
RGS5,0.004019605238062396,0.004248779933127471
RHPN2,0.0,0.0
RMRP,0.004964715649647222,0.004849637554150271
RNF126P1,-0.0004276873078217225,0.007594802213810835
RNF19B,0.0,0.0
RPS26P11,0.004964715649647222,0.004849637554150271
RRN3P1,0.0,0.0
S1PR5,0.0003366760612615094,0.0010100281837845282
SATB2,0.002693408490092075,0.0013467042450460377
SBK1,0.0,0.0
SCN9A,0.0006733521225230187,0.0013467042450460377
SCXB,0.003607146505488279,0.004417834182954862
SDC1,0.0,0.0
SDCBP2,0.0,0.0
SEL1L3,0.0,0.0
SEMA3F,0.0,0.0
SEMA4G,0.0030300845513535845,0.0010100281837845282
SEMA5B,0.0,0.0
SENP2,0.0,0.0
SERPINB1,0.0,0.0
SESN3,0.0,0.0
SETX,0.0,0.0
SF3A2,0.002552708046579766,0.003544314338645417
SFN,0.006312506384604488,0.00413250547604887
SFTPA2,0.004378026582682049,0.001622508788112656
SFTPB,0.001833976833976858,0.0012006196663563444
SFTPD,0.0,0.0
SGPP2,0.002693408490092075,0.0013467042450460377
SGTA,0.005410719758232418,0.004417834182954862
SHH,0.002693408490092075,0.0013467042450460377
SHROOM3,0.001683380306307547,0.001683380306307547
SIRT6,0.0,0.0
SLC15A4,0.0018035732527441396,0.003607146505488279
SLC18A1,0.0,0.0
SLC27A6,0.0013467042450460375,0.0016493691174014164
SLC34A2,0.0,0.0
SLC39A6,0.00041332332437455933,0.0005062156217542637
SLC3A1,0.002356732428830566,0.0015428435354104563
SLC5A10,0.0,0.0
SLC6A12,0.0013467042450460375,0.0016493691174014164
SLCO4C1,0.0,0.0
SNAI2,0.0013467042450460375,0.0016493691174014164
SNCG,0.0,0.0
SNORD97,0.0,0.0
SNRK,0.0010100281837845282,0.0015428435354104565
SNURF,0.007822727361299875,0.004084970891849477
SNX29,0.002693408490092075,0.0013467042450460377
SOD3,0.0,0.0
SOX9,0.002693408490092075,0.0013467042450460377
SPARCL1,0.002356732428830566,0.0015428435354104565
SPINK4,0.006312506384604488,0.0041325054760488695
SPN,0.0,0.0
SPON1,0.0,0.0
SPPL2B,0.0003366760612615094,0.0010100281837845282
ST6GALNAC1,0.0,0.0
STAMBPL1,0.0003366760612615094,0.0010100281837845282
STARD4,0.0,0.0
STK33,0.0013467042450460375,0.0016493691174014164
STX18,0.0006733521225230187,0.0013467042450460375
STXBP6,0.0,0.0
SUCLG2,0.0,0.0
SULT1B1,0.0,0.0
SULT1C2,0.0,0.0
SUSD4,0.006312506384604488,0.0041325054760488695
TAOK3,0.00020666166218727967,0.0004133233243745593
TBX2,0.0,0.0
TEAD1,0.0,0.0
TEKT2,0.0020200563675690565,0.0016493691174014164
TFAP2A,0.0,0.0
TFRC,0.0,0.0
THRSP,0.0,0.0
TJP1,0.002356732428830566,0.0015428435354104565
TJP3,0.0018035732527441396,0.003607146505488279
TM4SF20,0.0,0.0
TMC5,0.001830350908691969,0.002241712888267424
TMEM115,0.0,0.0
TMEM125,0.0,0.0
TMEM140,0.0006733521225230187,0.0013467042450460375
TMEM160,0.006312506384604488,0.0041325054760488695
TMEM171,0.0,0.0
TMEM233,0.0,0.0
TMEM40,0.0006733521225230187,0.0013467042450460377
TMEM54,0.0,0.0
TMPRSS4,0.0,0.0
TNFAIP6,0.0010100281837845282,0.0015428435354104565
TP53I13,0.0,0.0
TP63,-0.0004666546970694352,0.0013999640912083053
TRAIP,0.001683380306307547,0.001683380306307547
TRIM15,0.0,0.0
TRIM2,0.0,0.0
TRIM29,0.0,0.0
TRPM4,0.002693408490092075,0.0013467042450460377
TRPS1,0.0009353488130911414,0.001441721422836864
TRPV4,0.0,0.0
TSPAN12,0.0,0.0
TSPAN6,0.007214293010976558,0.003607146505488279
UBE2E2,0.0013467042450460375,0.0016493691174014164
UBE2T,0.0015751387488950885,0.0028139197787598134
UPK3B,0.0003366760612615094,0.0010100281837845282
UPP1,0.0,0.0
VEGFA,0.0006733521225230187,0.0013467042450460375
VIL1,0.003366760612615094,0.0
VPS37D,0.0,0.0
VSTM2L,0.008420296812510285,0.0029496750401779293
WDR82,0.001683380306307547,0.001683380306307547
WDR91,0.006312506384604488,0.0041325054760488695
WFDC2,0.002705359879116209,0.0041325054760488695
WHAMML1,0.0,0.0
WIT1,0.0,0.0
WNK4,0.0,0.0
WT1,0.0,0.0
YAP1,0.0,0.0
ZFP92,0.0,0.0
ZG16B,0.0018035732527441396,0.003607146505488279
ZMYM3,0.002356732428830566,0.0015428435354104565
ZNF229,0.0009017866263720698,0.0027053598791162087
ZNF418,0.0,0.0
ZNF446,0.0003366760612615094,0.0010100281837845282
ZNF503,0.0013467042450460375,0.0016493691174014164
ZNF512B,0.0,0.0
ZNF552,0.0,0.0
ZNF638,0.0,0.0
ZNF668,0.0,0.0
ZNF845,0.003405351817925395,0.0058159957356807394
ZNF90,0.0,0.0
